datetime,symbol,open,high,low,close,volume
2024-03-01 01:00:00,CRYPTO:SOLUSD,125.76,137.82,125.72,129.47,0.0
2024-03-02 01:00:00,CRYPTO:SOLUSD,129.47,131.68,127.42,130.18,0.0
2024-03-03 01:00:00,CRYPTO:SOLUSD,130.18,132.17,124.7,130.25,0.0
2024-03-04 01:00:00,CRYPTO:SOLUSD,130.25,134.99,127.55,133.28,0.0
2024-03-05 01:00:00,CRYPTO:SOLUSD,133.25,142.8,106.92,125.53,0.0
2024-03-06 01:00:00,CRYPTO:SOLUSD,125.53,135.05,120.28,130.96,0.0
2024-03-07 01:00:00,CRYPTO:SOLUSD,130.96,149.34,130.64,143.91,0.0
2024-03-08 01:00:00,CRYPTO:SOLUSD,143.91,152.78,142.29,145.0,0.0
2024-03-09 01:00:00,CRYPTO:SOLUSD,145.0,149.43,144.01,144.59,0.0
2024-03-10 01:00:00,CRYPTO:SOLUSD,144.58,148.77,140.77,144.67,0.0
2024-03-11 01:00:00,CRYPTO:SOLUSD,144.67,150.23,136.93,148.96,0.0
2024-03-12 01:00:00,CRYPTO:SOLUSD,148.96,155.0,141.8,151.07,0.0
2024-03-13 01:00:00,CRYPTO:SOLUSD,151.07,166.7,148.82,163.93,0.0
2024-03-14 01:00:00,CRYPTO:SOLUSD,163.92,178.4,159.48,176.71,0.0
2024-03-15 01:00:00,CRYPTO:SOLUSD,176.72,188.83,164.61,183.81,0.0
2024-03-16 01:00:00,CRYPTO:SOLUSD,183.82,197.87,177.03,182.06,0.0
2024-03-17 01:00:00,CRYPTO:SOLUSD,182.06,204.33,178.58,201.74,0.0
2024-03-18 01:00:00,CRYPTO:SOLUSD,201.74,209.82,193.9,195.76,0.0
2024-03-19 01:00:00,CRYPTO:SOLUSD,195.76,198.55,166.05,169.88,0.0
2024-03-20 01:00:00,CRYPTO:SOLUSD,169.88,193.04,162.49,191.73,0.0
2024-03-21 01:00:00,CRYPTO:SOLUSD,191.74,195.58,175.95,179.48,0.0
2024-03-22 01:00:00,CRYPTO:SOLUSD,179.48,181.81,167.64,175.04,0.0
2024-03-23 01:00:00,CRYPTO:SOLUSD,175.05,178.93,170.49,172.7,0.0
2024-03-24 01:00:00,CRYPTO:SOLUSD,172.7,186.73,171.37,183.86,0.0
2024-03-25 01:00:00,CRYPTO:SOLUSD,183.86,194.44,181.02,188.96,0.0
2024-03-26 01:00:00,CRYPTO:SOLUSD,188.96,196.59,186.33,190.48,0.0
2024-03-27 01:00:00,CRYPTO:SOLUSD,190.48,192.59,180.21,186.28,0.0
2024-03-28 01:00:00,CRYPTO:SOLUSD,186.28,190.81,180.85,189.57,0.0
2024-03-29 01:00:00,CRYPTO:SOLUSD,189.57,192.99,183.45,192.1,0.0
2024-03-30 01:00:00,CRYPTO:SOLUSD,192.1,200.0,190.94,194.3,0.0
2024-03-31 01:00:00,CRYPTO:SOLUSD,194.3,203.18,193.84,202.56,0.0
