datetime,symbol,open,high,low,close,volume
2022-08-01 02:00:00,CRYPTO:DOTUSD,8.63,8.982,8.037,8.184,0.0
2022-08-02 02:00:00,CRYPTO:DOTUSD,8.179,8.271,7.685,7.933,0.0
2022-08-03 02:00:00,CRYPTO:DOTUSD,7.932,8.457,7.692,7.997,0.0
2022-08-04 02:00:00,CRYPTO:DOTUSD,7.994,8.269,7.889,8.093,0.0
2022-08-05 02:00:00,CRYPTO:DOTUSD,8.091,8.836,8.078,8.81,0.0
2022-08-06 02:00:00,CRYPTO:DOTUSD,8.807,8.877,8.49,8.518,0.0
2022-08-07 02:00:00,CRYPTO:DOTUSD,8.518,8.929,8.351,8.653,0.0
2022-08-08 02:00:00,CRYPTO:DOTUSD,8.655,9.388,8.644,9.278,0.0
2022-08-09 02:00:00,CRYPTO:DOTUSD,9.275,9.46,8.655,8.906,0.0
2022-08-10 02:00:00,CRYPTO:DOTUSD,8.899,9.643,8.552,9.523,0.0
2022-08-11 02:00:00,CRYPTO:DOTUSD,9.527,9.652,9.135,9.206,0.0
2022-08-12 02:00:00,CRYPTO:DOTUSD,9.202,9.5,9.043,9.486,0.0
2022-08-13 02:00:00,CRYPTO:DOTUSD,9.481,9.675,9.259,9.304,0.0
2022-08-14 02:00:00,CRYPTO:DOTUSD,9.306,9.558,8.833,8.953,0.0
2022-08-15 02:00:00,CRYPTO:DOTUSD,8.957,9.383,8.633,8.787,0.0
2022-08-16 02:00:00,CRYPTO:DOTUSD,8.786,8.95,8.643,8.844,0.0
2022-08-17 02:00:00,CRYPTO:DOTUSD,8.838,9.165,8.318,8.371,0.0
2022-08-18 02:00:00,CRYPTO:DOTUSD,8.374,8.593,8.001,8.084,0.0
2022-08-19 02:00:00,CRYPTO:DOTUSD,8.081,8.09,7.232,7.314,0.0
2022-08-20 02:00:00,CRYPTO:DOTUSD,7.304,7.518,7.042,7.231,0.0
2022-08-21 02:00:00,CRYPTO:DOTUSD,7.228,7.539,7.171,7.435,0.0
2022-08-22 02:00:00,CRYPTO:DOTUSD,7.435,7.443,7.001,7.406,0.0
2022-08-23 02:00:00,CRYPTO:DOTUSD,7.402,7.709,7.189,7.637,0.0
2022-08-24 02:00:00,CRYPTO:DOTUSD,7.641,7.776,7.419,7.564,0.0
2022-08-25 02:00:00,CRYPTO:DOTUSD,7.563,7.758,7.462,7.582,0.0
2022-08-26 02:00:00,CRYPTO:DOTUSD,7.578,7.67,6.868,6.926,0.0
2022-08-27 02:00:00,CRYPTO:DOTUSD,6.927,7.1,6.803,7.041,0.0
2022-08-28 02:00:00,CRYPTO:DOTUSD,7.045,7.15,6.816,6.858,0.0
2022-08-29 02:00:00,CRYPTO:DOTUSD,6.864,7.311,6.789,7.276,0.0
2022-08-30 02:00:00,CRYPTO:DOTUSD,7.275,7.376,6.888,7.007,0.0
2022-08-31 02:00:00,CRYPTO:DOTUSD,7.011,7.289,6.983,7.035,0.0
